"f_1110-1"	"Points:0"	"Points:1"	"Points:2"
-0.20585	-0.26438	-0.085617	0
-0.44444	-0.42034	0.064198	0
-0.50686	-0.34213	-0.027903	0
-0.51782	-0.38614	0.03024	0
-0.31819	-0.28493	-0.085595	0
-0.20099	-0.2636	-0.064511	0
-0.24402	-0.4655	0.085833	0
-0.51113	-0.39139	0.062276	0
-0.52464	-0.37824	-0.085196	0
-0.52713	-0.37316	0.0087693	0
-0.51395	-0.38947	-0.059302	0
-0.41266	-0.3068	-0.062137	0
-0.3248	-0.45011	-0.03121	0
-0.35701	-0.44324	0.00040501	0
-0.20288	-0.2639	0.086102	0
-0.20274	-0.26387	0.033787	0
-0.45164	-0.41804	-0.010896	0
-0.40734	-0.30538	0.0018552	0
-0.38945	-0.43562	-0.085527	0
-0.45969	-0.32106	0.064793	0
-0.52045	-0.38375	0.086496	0
-0.45103	-0.31819	-0.028349	0
-0.29977	-0.2813	-0.0073808	0
-0.52541	-0.377	-0.06502	0
-0.51188	-0.3909	-0.012998	0
-0.4063	-0.30507	0.062534	0
-0.49311	-0.33458	0.029381	0
-0.4002	-0.30349	0.086564	0
-0.49265	-0.40208	0.046941	0
-0.42246	-0.4269	-0.065691	0
-0.48812	-0.33227	-0.06941	0
-0.44787	-0.31708	0.012824	0
-0.33019	-0.28741	-0.067331	0
-0.11149	-0.48697	-0.00021165	0
-0.4931	-0.33454	-0.00067054	0
-0.23162	-0.46768	-0.08667	0
-0.52465	-0.3786	0.056929	0
-0.29683	-0.2807	0.087655	0
-0.11178	-0.48693	0.038342	0
-0.52704	-0.37374	-0.0334	0
-0.49529	-0.40069	-0.07031	0
-0.19691	-0.2629	-0.0059158	0
-0.27889	-0.27727	0.06431	0
-0.21845	-0.46997	-0.0012053	0
-0.38928	-0.3008	0.04826	0
-0.52	-0.35222	0.04218	0
-0.46794	-0.3239	-0.086846	0
-0.51551	-0.34821	0.066221	0
-0.45815	-0.32048	0.042907	0
-0.11543	-0.48636	0.087855	0
-0.11377	-0.48661	-0.087979	0
-0.10954	-0.48726	-0.039155	0
-0.23393	-0.46732	0.043009	0
-0.25237	-0.46401	-0.051353	0
-0.19942	-0.26331	-0.026482	0
-0.52782	-0.36934	-0.019383	0
-0.39664	-0.30262	-0.047567	0
-0.51171	-0.39112	-0.087381	0
-0.45046	-0.318	0.087562	0
