"f_1110-0"	"Points:0"	"Points:1"	"Points:2"
-0.35379	-0.45096	-0.0066614	0
-0.57616	-0.42599	0.077829	0
-2.0077	-0.27435	-0.041288	0
-0.40665	-0.44485	-0.021036	0
-1.2276	-0.35867	0.024139	0
-0.69461	-0.41332	-0.031499	0
-0.85748	-0.39634	0.038981	0
-0.90092	-0.39188	0.072415	0
-1.4613	-0.33476	0.090345	0
-1.2413	-0.35728	0.06284	0
-0.13924	-0.47741	0.037751	0
-0.58174	-0.42538	-0.090521	0
-0.75232	-0.40725	0.02112	0
-1.3921	-0.34189	-0.089469	0
-0.55905	-0.42785	-0.043241	0
-1.3677	-0.34439	-0.075832	0
-0.2693	-0.46104	0.052544	0
-0.23773	-0.4649	-0.040908	0
-0.56561	-0.42713	-0.015578	0
-1.8073	-0.29769	-0.067495	0
-0.28768	-0.4588	0.035285	0
-0.39294	-0.44642	0.038093	0
-1.2527	-0.35612	-0.036696	0
-1.4085	-0.3402	-0.0090624	0
-0.4346	-0.44167	0.077538	0
-0.30479	-0.45675	0.089557	0
-1.8689	-0.29072	0.034426	0
-1.3798	-0.34315	-0.053581	0
-1.8242	-0.29578	0.09208	0
-0.93584	-0.3883	-0.048324	0
-0.84498	-0.39763	-0.036484	0
-0.31162	-0.45595	-0.055571	0
-1.7017	-0.30932	-0.041745	0
-1.5885	-0.32144	0.073372	0
-0.26365	-0.46173	-0.009386	0
-0.14587	-0.47655	-0.089145	0
-0.82718	-0.39947	-0.018044	0
-1.068	-0.37485	-0.0021699	0
-1.3827	-0.34285	0.0365	0
-1.0489	-0.37679	-0.075525	0
-1.1602	-0.3655	0.074408	0
-1.5547	-0.32501	-0.049016	0
-1.2824	-0.3531	-0.0072963	0
-1.6713	-0.31261	-0.0039331	0
-1.6018	-0.32004	-0.019385	0
-2.1294	-0.25904	0.025904	0
-1.1276	-0.36881	-0.051121	0
-1.5492	-0.32559	-0.076712	0
-2.1372	-0.25803	-0.01524	0
-1.0218	-0.37955	0.046948	0
-1.5491	-0.32559	0.010312	0
-1.5484	-0.32567	0.020724	0
-0.47932	-0.43665	0.060923	0
-0.16305	-0.47432	-0.069499	0
-0.15645	-0.47519	0.070664	0
-0.29802	-0.45756	-0.090348	0
-0.83851	-0.3983	0.019076	0
-0.8867	-0.39333	0.090052	0
-0.48765	-0.43572	0.0075542	0
-1.2251	-0.35892	0.048403	0
-0.2889	-0.45867	-0.026676	0
-1.764	-0.3025	0.077037	0
-0.55096	-0.42873	0.041153	0
-1.409	-0.34014	0.0068156	0
-0.20402	-0.4691	0.010156	0
-0.55516	-0.42827	-0.07914	0
-1.3969	-0.34139	0.022531	0
-1.8234	-0.29587	-0.031257	0
-2.0268	-0.27202	0.091443	0
-1.9364	-0.28288	0.0011135	0
-1.8771	-0.28978	0.015754	0
