"f_788-1"	"Points:0"	"Points:1"	"Points:2"
-1.565	-0.43503	-0.035604	0
-1.9882	-0.37003	0.049478	0
-1.9542	-0.37785	-0.049604	0
-2.0521	-0.29492	-0.0076492	0
-2.0479	-0.29305	-0.056948	0
-1.3414	-0.45837	-0.0012153	0
-2.0436	-0.29139	0.058605	0
-1.7935	-0.40586	0.062681	0
-2.0603	-0.34598	-6.7803e-06	0
-1.2764	-0.46462	0.061002	0
-1.283	-0.46401	-0.063219	0
-2.0772	-0.33483	0.063638	0
-1.6796	-0.42136	0.003541	0
-1.7501	-0.41201	-0.063567	0
-2.0582	-0.34714	-0.065353	0
-2.024	-0.28458	0.024955	0
-1.8085	-0.40363	-0.029576	0
-1.8271	-0.4008	0.029124	0
-1.2355	-0.46845	0.030124	0
-1.2398	-0.46805	-0.030109	0
-2.0268	-0.35901	-0.026837	0
-1.576	-0.43377	0.070492	0
-2.0834	-0.31839	-0.07132	0
-2.0036	-0.27863	-0.031587	0
-2.0543	-0.34868	0.027717	0
-1.9336	-0.38211	0.072725	0
-1.5419	-0.4376	-0.073793	0
-2.0838	-0.31963	0.0025951	0
-1.9025	-0.38807	-0.073966	0
-1.9702	-0.37424	0.023501	0
-2.071	-0.30472	-0.031175	0
-2.0799	-0.31213	0.074854	0
-1.9908	-0.27528	-0.073361	0
-2.0325	-0.35717	0.075386	0
-1.9869	-0.27422	0.07514	0
-1.9889	-0.27479	0.004924	0
-1.539	-0.43792	-0.014188	0
-2.0808	-0.31341	0.049858	0
-1.9809	-0.27277	0.045439	0
-1.936	-0.38164	-0.022746	0
-2.0076	-0.36486	-0.078753	0
-1.5121	-0.44086	0.014626	0
-1.1368	-0.47737	0.010852	0
-2.0595	-0.29823	-0.078284	0
-1.9789	-0.27225	-0.051342	0
-1.1276	-0.47818	0.078117	0
-1.1266	-0.47827	-0.078241	0
-1.1303	-0.47797	-0.011227	0
-2.0673	-0.30221	0.019628	0
-2.0826	-0.31627	-0.049725	0
-1.8869	-0.39092	0.047146	0
-1.1261	-0.47834	0.047721	0
-1.1212	-0.47875	-0.048669	0
-1.7057	-0.41802	0.039271	0
-1.7265	-0.41526	0.080487	0
-2.0539	-0.34897	-0.045621	0
-2.0813	-0.33113	-0.015208	0
-2.0124	-0.36352	-0.0053262	0
-1.8394	-0.39888	-0.047258	0
-1.8057	-0.40408	-0.0074599	0
-1.4044	-0.45215	0.07884	0
-2.0759	-0.33619	0.041007	0
-1.7021	-0.41848	-0.046997	0
-1.6429	-0.42589	0.025674	0
-2.0698	-0.30363	0.037827	0
-1.3789	-0.45471	0.04495	0
-1.3831	-0.4543	-0.045729	0
-2.0771	-0.33543	-0.080225	0
-1.3995	-0.45263	-0.080643	0
-2.0444	-0.29149	0.082065	0
-2.0783	-0.33439	0.015223	0
-1.9584	-0.2676	-0.014953	0
-1.7063	-0.41793	-0.08286	0
-1.6883	-0.42024	-0.027206	0
-2.0821	-0.32966	0.080904	0
-2.051	-0.3505	0.054274	0
-2.0803	-0.3124	-0.013656	0
-1.5689	-0.43458	-0.052184	0
-1.8408	-0.39858	0.08125	0
-2.0784	-0.33392	-0.051634	0
-1.8022	-0.40457	0.01083	0
-2.03	-0.35813	0.012641	0
